FID,INSPIREID,COUNTRY,NATLEVNAME,NATCODE,NAMEUNIT,CODNUT1,CODNUT2,CODNUT3,COD_INE,COD_PROV,NOM_ETIQ,HABITANTES,DENSIDAD,SUP_KM2,CP,SHAPE_Length,SHAPE_Area
357,ES.IGN.SIGLIM34081616177,ES,Municipio,34081616177,Reíllo,ES4,ES42,ES423,16177,16,Reíllo,118,1.44,81.731703,16359,51851.3621977448,138928285.987232
358,ES.IGN.SIGLIM34081616181,ES,Municipio,34081616181,Rozalén del Monte,ES4,ES42,ES423,16181,16,Rozalén del Monte,67,2.18,30.608717,16452,29976.9042736973,52234491.1110026
359,ES.IGN.SIGLIM34081616185,ES,Municipio,34081616185,Saceda-Trasierra,ES4,ES42,ES423,16185,16,Saceda-Trasierra,38,1.23,30.804756,16463,30987.6231373411,53011756.2874307
360,ES.IGN.SIGLIM34081616186,ES,Municipio,34081616186,Saelices,ES4,ES42,ES423,16186,16,Saelices,505,6.26,80.623106,16430,51049.6284884605,137140271.547439
361,ES.IGN.SIGLIM34081616187,ES,Municipio,34081616187,Salinas del Manzano,ES4,ES42,ES423,16187,16,Salinas del Manzano,81,2.4,33.631907,16317,32183.7017319125,57542895.7598896
362,ES.IGN.SIGLIM34081616213,ES,Municipio,34081616213,Torrubia del Castillo,ES4,ES42,ES423,16213,16,Torrubia del Castillo,39,2.25,17.290398,16739,24910.7766030441,29512477.4389713
363,ES.IGN.SIGLIM34081616189,ES,Municipio,34081616189,Salvacañete,ES4,ES42,ES423,16189,16,Salvacañete,296,2.46,120.240631,16318,66918.6241883166,206011183.623791
364,ES.IGN.SIGLIM34081616191,ES,Municipio,34081616191,San Lorenzo de la Parrilla,ES4,ES42,ES423,16191,16,San Lorenzo de la Parrilla,1040,17.36,59.885449,16770,59020.3878533691,101725376.419064
365,ES.IGN.SIGLIM34081616215,ES,Municipio,34081616215,Tragacete,ES4,ES42,ES423,16215,16,Tragacete,259,4.22,61.268253,16150,51560.3428437528,106471337.088978
366,ES.IGN.SIGLIM34081616190,ES,Municipio,34081616190,San Clemente,ES4,ES42,ES423,16190,16,San Clemente,7107,25.64,277.123171,16600,134007.241769399,465485310.684896
367,ES.IGN.SIGLIM34081616199,ES,Municipio,34081616199,Solera de Gabaldón,ES4,ES42,ES423,16199,16,Solera de Gabaldón,23,0.45,50.461528,16131,39862.9400081798,85521932.1855908
368,ES.IGN.SIGLIM34081616192,ES,Municipio,34081616192,San Martín de Boniches,ES4,ES42,ES423,16192,16,San Martín de Boniches,46,0.66,69.672134,16370,58151.364149374,118601099.961135
369,ES.IGN.SIGLIM34081616193,ES,Municipio,34081616193,San Pedro Palmiches,ES4,ES42,ES423,16193,16,San Pedro Palmiches,55,2.77,19.817624,16810,26831.3361996075,34293573.437077
370,ES.IGN.SIGLIM34081919059,ES,Municipio,34081919059,Campillo de Dueñas,ES4,ES42,ES424,19059,19,Campillo de Dueñas,79,1.3,60.570799,19360,46700.1763145767,106104871.988354
371,ES.IGN.SIGLIM34081616194,ES,Municipio,34081616194,Santa Cruz de Moya,ES4,ES42,ES423,16194,16,Santa Cruz de Moya,227,2.05,110.566061,16336,75345.6114587022,188666021.065284
372,ES.IGN.SIGLIM34081616212,ES,Municipio,34081616212,Torrubia del Campo,ES4,ES42,ES423,16212,16,Torrubia del Campo,257,4.81,53.399014,16413,47658.6931866134,90723896.4375402
373,ES.IGN.SIGLIM34081616195,ES,Municipio,34081616195,Santa María del Campo Rus,ES4,ES42,ES423,16195,16,Santa María del Campo Rus,590,6.31,93.500681,16621,58524.5223071533,157714327.275812
374,ES.IGN.SIGLIM34081616202,ES,Municipio,34081616202,Talayuelas,ES4,ES42,ES423,16202,16,Talayuelas,884,8.3,106.49434,16320,54246.6864263293,180950042.247477
375,ES.IGN.SIGLIM34081919060,ES,Municipio,34081919060,Campillo de Ranas,ES4,ES42,ES424,19060,19,Campillo de Ranas,147,1.59,91.935634,19223,73627.5465989713,161472167.271165
376,ES.IGN.SIGLIM34081616196,ES,Municipio,34081616196,Santa María de los Llanos,ES4,ES42,ES423,16196,16,Santa María de los Llanos,688,16.08,42.770796,16639,49089.8229347942,72323326.4494195
377,ES.IGN.SIGLIM34081616203,ES,Municipio,34081616203,Tarancón,ES4,ES42,ES423,16203,16,Tarancón,14990,140.44,106.728538,16400,59952.0840058751,182260177.216853
378,ES.IGN.SIGLIM34081616197,ES,Municipio,34081616197,Santa María del Val,ES4,ES42,ES423,16197,16,Santa María del Val,68,1.46,46.290795,16878,40696.0688573166,81449456.7255627
379,ES.IGN.SIGLIM34081616206,ES,Municipio,34081616206,Tinajas,ES4,ES42,ES423,16206,16,Tinajas,195,4.16,46.85573,16534,41488.0391110663,80792946.4912418
380,ES.IGN.SIGLIM34081616198,ES,Municipio,34081616198,Sisante,ES4,ES42,ES423,16198,16,Sisante,1643,12.23,134.315682,16700,79903.7848860915,225321237.117182
381,ES.IGN.SIGLIM34081616209,ES,Municipio,34081616209,Torralba,ES4,ES42,ES423,16209,16,Torralba,114,2.05,55.447974,16842,39182.0434884683,95509234.5759766
382,ES.IGN.SIGLIM34081616204,ES,Municipio,34081616204,Tébar,ES4,ES42,ES423,16204,16,Tébar,280,2.83,98.858219,16213,62997.8551189867,166543761.973742
383,ES.IGN.SIGLIM34081616205,ES,Municipio,34081616205,Tejadillos,ES4,ES42,ES423,16205,16,Tejadillos,124,1.96,63.252953,16317,44344.3978444922,108385024.601837
384,ES.IGN.SIGLIM34081616211,ES,Municipio,34081616211,Torrejoncillo del Rey,ES4,ES42,ES423,16211,16,Torrejoncillo del Rey,363,1.8,201.272591,16161,108915.965268903,343855567.023304
385,ES.IGN.SIGLIM34081919163,ES,Municipio,34081919163,Luzón,ES4,ES42,ES424,19163,19,Luzón,67,1.17,57.060871,19285,39239.6841071688,100227282.229372
386,ES.IGN.SIGLIM34081616216,ES,Municipio,34081616216,Tresjuncos,ES4,ES42,ES423,16216,16,Tresjuncos,302,4.3,70.197514,16422,43802.6743346139,118897862.189201
387,ES.IGN.SIGLIM34081616217,ES,Municipio,34081616217,Tribaldos,ES4,ES42,ES423,16217,16,Tribaldos,96,4.49,21.34665,16451,28462.3622452347,36374897.3131461
388,ES.IGN.SIGLIM34081616224,ES,Municipio,34081616224,Valdemeca,ES4,ES42,ES423,16224,16,Valdemeca,88,1.26,69.749504,16151,44326.206020854,119904472.647634
389,ES.IGN.SIGLIM34081919172,ES,Municipio,34081919172,Masegoso de Tajuña,ES4,ES42,ES424,19172,19,Masegoso de Tajuña,51,2.93,17.378738,19490,24080.8134893523,30392353.7273739
390,ES.IGN.SIGLIM34081616218,ES,Municipio,34081616218,Uclés,ES4,ES42,ES423,16218,16,Uclés,223,3.46,64.443689,16450,85646.6633294344,110093948.130232
391,ES.IGN.SIGLIM34081616219,ES,Municipio,34081616219,Uña,ES4,ES42,ES423,16219,16,Uña,89,3.81,23.325341,16152,48257.8486839949,40434470.6870493
392,ES.IGN.SIGLIM34081616225,ES,Municipio,34081616225,Valdemorillo de la Sierra,ES4,ES42,ES423,16225,16,Valdemorillo de la Sierra,66,0.93,70.216701,16342,48010.6517250094,120007213.86729
393,ES.IGN.SIGLIM34081616227,ES,Municipio,34081616227,Valdemoro-Sierra,ES4,ES42,ES423,16227,16,Valdemoro-Sierra,113,1.04,107.765029,16343,63186.2962418757,184338098.931189
394,ES.IGN.SIGLIM34081616228,ES,Municipio,34081616228,Valdeolivas,ES4,ES42,ES423,16228,16,Valdeolivas,203,4.41,46.019008,16813,40059.0461206151,79709044.5977877
395,ES.IGN.SIGLIM34081616231,ES,Municipio,34081616231,Valhermoso de la Fuente,ES4,ES42,ES423,16231,16,Valhermoso de la Fuente,48,1.49,32.11163,16214,30639.746871535,54103099.2296174
396,ES.IGN.SIGLIM34081616234,ES,Municipio,34081616234,Valsalobre,ES4,ES42,ES423,16234,16,Valsalobre,28,0.73,38.047566,16879,33328.7004185699,66181269.058397
397,ES.IGN.SIGLIM34081919250,ES,Municipio,34081919250,Santiuste,ES4,ES42,ES424,19250,19,Santiuste,18,1.71,10.519348,19245,18679.4654527399,18558917.0215853
398,ES.IGN.SIGLIM34081616236,ES,Municipio,34081616236,Valverde de Júcar,ES4,ES42,ES423,16236,16,Valverde de Júcar,1071,19.06,56.18119,16100,54777.3395476197,95117744.6747506
399,ES.IGN.SIGLIM34081616237,ES,Municipio,34081616237,Valverdejo,ES4,ES42,ES423,16237,16,Valverdejo,102,3.14,32.453504,16214,34617.5561313873,54802011.8071039
400,ES.IGN.SIGLIM34081616238,ES,Municipio,34081616238,Vara de Rey,ES4,ES42,ES423,16238,16,Vara de Rey,501,3.91,128.041967,16709,68714.2616575153,214605898.989621
401,ES.IGN.SIGLIM34081616239,ES,Municipio,34081616239,Vega del Codorno,ES4,ES42,ES423,16239,16,Vega del Codorno,134,4.15,32.27209,16150,35965.3168654212,55766997.2432513
402,ES.IGN.SIGLIM34081919004,ES,Municipio,34081919004,Alaminos,ES4,ES42,ES424,19004,19,Alaminos,62,3.17,19.505529,19490,27260.1890374652,34131345.5796987
403,ES.IGN.SIGLIM34081616240,ES,Municipio,34081616240,Vellisca,ES4,ES42,ES423,16240,16,Vellisca,100,2.32,42.948419,16543,36356.3864533123,73589410.909306
404,ES.IGN.SIGLIM34081616242,ES,Municipio,34081616242,Villaconejos de Trabaque,ES4,ES42,ES423,16242,16,Villaconejos de Trabaque,348,10.93,31.832953,16860,29876.634520056,54985528.6192325
405,ES.IGN.SIGLIM34081616245,ES,Municipio,34081616245,Villalba de la Sierra,ES4,ES42,ES423,16245,16,Villalba de la Sierra,476,11.56,41.164652,16140,36877.9304100009,70844586.8431999
406,ES.IGN.SIGLIM34081616243,ES,Municipio,34081616243,Villaescusa de Haro,ES4,ES42,ES423,16243,16,Villaescusa de Haro,470,5.04,93.17701,16647,73552.616885069,157273290.286077
407,ES.IGN.SIGLIM34081616244,ES,Municipio,34081616244,Villagarcía del Llano,ES4,ES42,ES423,16244,16,Villagarcía del Llano,745,6.36,117.020255,16236,63239.210771315,195581630.198649
408,ES.IGN.SIGLIM34081616246,ES,Municipio,34081616246,Villalba del Rey,ES4,ES42,ES423,16246,16,Villalba del Rey,515,5.42,94.995042,16535,67865.2994999651,163857486.297978
409,ES.IGN.SIGLIM34081616247,ES,Municipio,34081616247,Villalgordo del Marquesado,ES4,ES42,ES423,16247,16,Villalgordo del Marquesado,76,2.51,30.214004,16646,33078.301435406,51217607.6115579
410,ES.IGN.SIGLIM34081616266,ES,Municipio,34081616266,Villarejo-Periesteban,ES4,ES42,ES423,16266,16,Villarejo-Periesteban,385,11.52,33.405074,16443,34825.9365078613,56843755.2057563
411,ES.IGN.SIGLIM34081616248,ES,Municipio,34081616248,Villalpardo,ES4,ES42,ES423,16248,16,Villalpardo,1016,32.46,31.296362,16270,43216.0232907967,52908448.9206214
412,ES.IGN.SIGLIM34081616273,ES,Municipio,34081616273,Villaverde y Pasaconsol,ES4,ES42,ES423,16273,16,Villaverde y Pasaconsol,337,15.68,21.487575,16110,26872.5586416152,35941924.5798524
413,ES.IGN.SIGLIM34081616249,ES,Municipio,34081616249,Villamayor de Santiago,ES4,ES42,ES423,16249,16,Villamayor de Santiago,2522,13.93,180.934293,16415,81252.4229579112,306663690.919889
414,ES.IGN.SIGLIM34081616250,ES,Municipio,34081616250,Villanueva de Guadamejud,ES4,ES42,ES423,16250,16,Villanueva de Guadamejud,70,2.28,30.588775,16532,34567.6604102181,52562957.3170001
415,ES.IGN.SIGLIM34081616251,ES,Municipio,34081616251,Villanueva de la Jara,ES4,ES42,ES423,16251,16,Villanueva de la Jara,2304,14.77,155.9564,16230,90227.878682655,261881824.59076
416,ES.IGN.SIGLIM34081616253,ES,Municipio,34081616253,Villar de Cañas,ES4,ES42,ES423,16253,16,Villar de Cañas,378,5.37,70.296197,16433,53473.0855823034,119363012.319532
417,ES.IGN.SIGLIM34081616254,ES,Municipio,34081616254,Villar de Domingo García,ES4,ES42,ES423,16254,16,Villar de Domingo García,229,2.98,76.774489,16840,61015.6134761861,132038751.499129
418,ES.IGN.SIGLIM34081616255,ES,Municipio,34081616255,Villar de la Encina,ES4,ES42,ES423,16255,16,Villar de la Encina,165,3.35,49.198699,16648,44269.4130030525,83040774.3523705
419,ES.IGN.SIGLIM34081919008,ES,Municipio,34081919008,Albendiego,ES4,ES42,ES424,19008,19,Albendiego,46,2.01,22.869387,19275,25741.8503673619,40519053.2093387
420,ES.IGN.SIGLIM34081616258,ES,Municipio,34081616258,Villar del Humo,ES4,ES42,ES423,16258,16,Villar del Humo,189,1.26,149.989082,16370,70919.6606885838,255049867.919962
421,ES.IGN.SIGLIM34081616259,ES,Municipio,34081616259,Villar del Infantado,ES4,ES42,ES423,16259,16,Villar del Infantado,47,2.16,21.719464,16813,29738.3279929583,37617016.2499191
422,ES.IGN.SIGLIM34081616263,ES,Municipio,34081616263,Villar de Olalla,ES4,ES42,ES423,16263,16,Villar de Olalla,1258,7.96,157.886561,16196,114239.556085769,269218454.558402
423,ES.IGN.SIGLIM34081919027,ES,Municipio,34081919027,Alustante,ES4,ES42,ES424,19027,19,Alustante,157,1.68,93.014393,19320,55385.7426632655,161603766.672852
424,ES.IGN.SIGLIM34081616264,ES,Municipio,34081616264,Villarejo de Fuentes,ES4,ES42,ES423,16264,16,Villarejo de Fuentes,454,3.53,128.284986,16432,64323.4222558228,217471208.724544
425,ES.IGN.SIGLIM34081616265,ES,Municipio,34081616265,Villarejo de la Peñuela,ES4,ES42,ES423,16265,16,Villarejo de la Peñuela,21,1.61,13.010404,16541,19591.0124348314,22268687.7541565
426,ES.IGN.SIGLIM34081616269,ES,Municipio,34081616269,Villares del Saz,ES4,ES42,ES423,16269,16,Villares del Saz,466,6.65,70.048044,16442,55911.4466310061,119121619.618476
427,ES.IGN.SIGLIM34081616270,ES,Municipio,34081616270,Villarrubio,ES4,ES42,ES423,16270,16,Villarrubio,196,6.94,28.229547,16420,37274.1252642958,48132652.4493114
428,ES.IGN.SIGLIM34081616275,ES,Municipio,34081616275,Vindel,ES4,ES42,ES423,16275,16,Vindel,10,0.39,25.268143,16812,27315.0819329543,43826378.0068549
429,ES.IGN.SIGLIM34081616271,ES,Municipio,34081616271,Villarta,ES4,ES42,ES423,16271,16,Villarta,821,32.17,25.519523,16280,33812.8645109876,43008907.920618
